,treatment,animal,val_accuracy,test_accuracy,prop_reward_pred_val,prop_reward_pred_test,prop_reward,prop_reward_test,Session_trial,Reward,Prop_pred_reward_trial
2,Control,10,0.7394871794871795,0.6858974358974359,0.7788461538461539,0.8012820512820513,0.7083333333333334,0.6666666666666666,9_11,1.0,1.0
3,Control,10,0.7394871794871795,0.6858974358974359,0.7788461538461539,0.8012820512820513,0.7083333333333334,0.6666666666666666,9_12,1.0,1.0
4,Control,10,0.7394871794871795,0.6858974358974359,0.7788461538461539,0.8012820512820513,0.7083333333333334,0.6666666666666666,9_2,0.0,0.28205128205128205
5,Control,10,0.7394871794871795,0.6858974358974359,0.7788461538461539,0.8012820512820513,0.7083333333333334,0.6666666666666666,9_3,1.0,0.717948717948718
6,Control,10,0.7394871794871795,0.6858974358974359,0.7788461538461539,0.8012820512820513,0.7083333333333334,0.6666666666666666,9_4,0.0,1.0
7,Control,10,0.7394871794871795,0.6858974358974359,0.7788461538461539,0.8012820512820513,0.7083333333333334,0.6666666666666666,9_5,1.0,0.23076923076923078
8,Control,10,0.7394871794871795,0.6858974358974359,0.7788461538461539,0.8012820512820513,0.7083333333333334,0.6666666666666666,9_6,0.0,0.41025641025641024
9,Control,10,0.7394871794871795,0.6858974358974359,0.7788461538461539,0.8012820512820513,0.7083333333333334,0.6666666666666666,9_7,1.0,1.0
10,Control,10,0.7394871794871795,0.6858974358974359,0.7788461538461539,0.8012820512820513,0.7083333333333334,0.6666666666666666,9_8,0.0,1.0
11,Control,10,0.7394871794871795,0.6858974358974359,0.7788461538461539,0.8012820512820513,0.7083333333333334,0.6666666666666666,9_9,1.0,1.0
0,Control,M3,0.6635897435897437,0.3995726495726496,0.9391025641025641,0.7521367521367521,0.7083333333333334,0.5833333333333334,9_1,0.0,0.717948717948718
1,Control,M3,0.6635897435897437,0.3995726495726496,0.9391025641025641,0.7521367521367521,0.7083333333333334,0.5833333333333334,9_10,1.0,0.5641025641025641
2,Control,M3,0.6635897435897437,0.3995726495726496,0.9391025641025641,0.7521367521367521,0.7083333333333334,0.5833333333333334,9_11,0.0,1.0
3,Control,M3,0.6635897435897437,0.3995726495726496,0.9391025641025641,0.7521367521367521,0.7083333333333334,0.5833333333333334,9_12,1.0,0.1794871794871795
4,Control,M3,0.6635897435897437,0.3995726495726496,0.9391025641025641,0.7521367521367521,0.7083333333333334,0.5833333333333334,9_2,1.0,0.10256410256410256
5,Control,M3,0.6635897435897437,0.3995726495726496,0.9391025641025641,0.7521367521367521,0.7083333333333334,0.5833333333333334,9_3,0.0,1.0
6,Control,M3,0.6635897435897437,0.3995726495726496,0.9391025641025641,0.7521367521367521,0.7083333333333334,0.5833333333333334,9_4,1.0,1.0
7,Control,M3,0.6635897435897437,0.3995726495726496,0.9391025641025641,0.7521367521367521,0.7083333333333334,0.5833333333333334,9_5,0.0,1.0
